forum,date,n
Speech at Turning Point USA’s Teen Student Action Summit,2019-07-23T00:00:00Z,23
Campaign Rally,2019-07-17T00:00:00Z,22
remarks with Pakistani Prime Minister Imran Khan,2019-07-22T00:00:00Z,16
exchange with reporters upon signing agreement with Guatemala,2019-07-26T00:00:00Z,14
Cabinet Meeting,2019-07-16T00:00:00Z,13
USMCA speech,2019-07-12T00:00:00Z,11
Social media summit speech,2019-07-11T00:00:00Z,8
Exchange with reporters before Marine One departure,2019-07-12T00:00:00Z,6
Interview with Sean Hannity,2019-07-25T00:00:00Z,6
Twitter,2019-07-24T00:00:00Z,5
